Initialzing...
Initializing data source...
Loading training data...
Data initialization complete.
Initializing model...
Model initialization complete.
Training START
iter 1900:, hard_loss_metric=0.24051258, hard_loss_metric=0.24051258, full_loss_metric=0.17879385, full_loss_num=5000.83837891, mean_dist=2.35184860, lr=0.000100, hard or full='full'
iter 3300:, hard_loss_metric=0.14772220, hard_loss_metric=0.14772220, full_loss_metric=0.17207308, full_loss_num=2072.32324219, mean_dist=3.10829353, lr=0.000100, hard or full='full'
iter 3400:, hard_loss_metric=0.13444048, hard_loss_metric=0.13444048, full_loss_metric=0.17606272, full_loss_num=1759.80297852, mean_dist=3.22827911, lr=0.000100, hard or full='full'
iter 3500:, hard_loss_metric=0.13324296, hard_loss_metric=0.13324296, full_loss_metric=0.17204855, full_loss_num=1752.31860352, mean_dist=3.28460765, lr=0.000100, hard or full='full'
iter 3600:, hard_loss_metric=0.13145828, hard_loss_metric=0.13145828, full_loss_metric=0.17674957, full_loss_num=1669.80578613, mean_dist=3.34567261, lr=0.000100, hard or full='full'
iter 3700:, hard_loss_metric=0.12978661, hard_loss_metric=0.12978661, full_loss_metric=0.17478141, full_loss_num=1612.00878906, mean_dist=3.34415364, lr=0.000100, hard or full='full'
iter 3800:, hard_loss_metric=0.11750678, hard_loss_metric=0.11750678, full_loss_metric=0.17560257, full_loss_num=1398.99426270, mean_dist=3.39478827, lr=0.000100, hard or full='full'
iter 3900:, hard_loss_metric=0.12720306, hard_loss_metric=0.12720306, full_loss_metric=0.17189182, full_loss_num=1601.25292969, mean_dist=3.35870886, lr=0.000100, hard or full='full'
0:12:26.014325
iter 4000:, hard_loss_metric=0.12084093, hard_loss_metric=0.12084093, full_loss_metric=0.17930965, full_loss_num=1399.52136230, mean_dist=3.56915164, lr=0.000100, hard or full='full'
iter 4100:, hard_loss_metric=0.11475287, hard_loss_metric=0.11475287, full_loss_metric=0.17621244, full_loss_num=1331.63574219, mean_dist=3.48863339, lr=0.000100, hard or full='full'
iter 4200:, hard_loss_metric=0.12064815, hard_loss_metric=0.12064815, full_loss_metric=0.17362686, full_loss_num=1403.34301758, mean_dist=3.43463540, lr=0.000100, hard or full='full'
iter 4300:, hard_loss_metric=0.10970166, hard_loss_metric=0.10970166, full_loss_metric=0.17449564, full_loss_num=1268.47570801, mean_dist=3.54221249, lr=0.000100, hard or full='full'
iter 4400:, hard_loss_metric=0.11208966, hard_loss_metric=0.11208966, full_loss_metric=0.17582102, full_loss_num=1202.11865234, mean_dist=3.64236116, lr=0.000100, hard or full='full'
iter 4500:, hard_loss_metric=0.11200645, hard_loss_metric=0.11200645, full_loss_metric=0.17890814, full_loss_num=1211.04150391, mean_dist=3.69394326, lr=0.000100, hard or full='full'
iter 4600:, hard_loss_metric=0.10443617, hard_loss_metric=0.10443617, full_loss_metric=0.17553915, full_loss_num=1137.40856934, mean_dist=3.68374348, lr=0.000100, hard or full='full'
iter 4700:, hard_loss_metric=0.09653380, hard_loss_metric=0.09653380, full_loss_metric=0.17345576, full_loss_num=958.53576660, mean_dist=3.78905416, lr=0.000100, hard or full='full'
iter 4800:, hard_loss_metric=0.08781770, hard_loss_metric=0.08781770, full_loss_metric=0.17070459, full_loss_num=894.52008057, mean_dist=3.82558107, lr=0.000100, hard or full='full'
iter 4900:, hard_loss_metric=0.09405437, hard_loss_metric=0.09405437, full_loss_metric=0.17825146, full_loss_num=915.01281738, mean_dist=3.86306548, lr=0.000100, hard or full='full'
0:12:28.493767
iter 5000:, hard_loss_metric=0.09028119, hard_loss_metric=0.09028119, full_loss_metric=0.16878130, full_loss_num=886.36999512, mean_dist=3.97103000, lr=0.000100, hard or full='full'
iter 5100:, hard_loss_metric=0.08458951, hard_loss_metric=0.08458951, full_loss_metric=0.17568910, full_loss_num=783.12426758, mean_dist=4.07647514, lr=0.000100, hard or full='full'
iter 5200:, hard_loss_metric=0.08901140, hard_loss_metric=0.08901140, full_loss_metric=0.18123271, full_loss_num=866.99139404, mean_dist=4.10970116, lr=0.000100, hard or full='full'
iter 5300:, hard_loss_metric=0.08889661, hard_loss_metric=0.08889661, full_loss_metric=0.17594132, full_loss_num=867.16430664, mean_dist=4.03490067, lr=0.000100, hard or full='full'
iter 5400:, hard_loss_metric=0.08255496, hard_loss_metric=0.08255496, full_loss_metric=0.17745405, full_loss_num=756.90142822, mean_dist=4.17357016, lr=0.000100, hard or full='full'
iter 5500:, hard_loss_metric=0.08137944, hard_loss_metric=0.08137944, full_loss_metric=0.17561018, full_loss_num=716.78997803, mean_dist=4.21932364, lr=0.000100, hard or full='full'
iter 5600:, hard_loss_metric=0.07947142, hard_loss_metric=0.07947142, full_loss_metric=0.17174013, full_loss_num=747.48858643, mean_dist=4.00512981, lr=0.000100, hard or full='full'
iter 5700:, hard_loss_metric=0.07790688, hard_loss_metric=0.07790688, full_loss_metric=0.17168674, full_loss_num=751.07720947, mean_dist=4.07359838, lr=0.000100, hard or full='full'
iter 5800:, hard_loss_metric=0.07509649, hard_loss_metric=0.07509649, full_loss_metric=0.17351806, full_loss_num=642.73431396, mean_dist=4.25631142, lr=0.000100, hard or full='full'
iter 5900:, hard_loss_metric=0.07982908, hard_loss_metric=0.07982908, full_loss_metric=0.17459086, full_loss_num=729.56860352, mean_dist=4.27520180, lr=0.000100, hard or full='full'
0:12:26.420495
iter 6000:, hard_loss_metric=0.07081044, hard_loss_metric=0.07081044, full_loss_metric=0.16862874, full_loss_num=602.99005127, mean_dist=4.50700092, lr=0.000100, hard or full='full'
iter 6100:, hard_loss_metric=0.08056667, hard_loss_metric=0.08056667, full_loss_metric=0.17984538, full_loss_num=707.03717041, mean_dist=4.45066118, lr=0.000100, hard or full='full'
iter 6200:, hard_loss_metric=0.07043812, hard_loss_metric=0.07043812, full_loss_metric=0.16857181, full_loss_num=584.87286377, mean_dist=4.43981552, lr=0.000100, hard or full='full'
iter 6300:, hard_loss_metric=0.07047088, hard_loss_metric=0.07047088, full_loss_metric=0.17158972, full_loss_num=587.49279785, mean_dist=4.44931746, lr=0.000100, hard or full='full'
iter 6400:, hard_loss_metric=0.06323658, hard_loss_metric=0.06323658, full_loss_metric=0.17348158, full_loss_num=513.70861816, mean_dist=4.55943441, lr=0.000100, hard or full='full'
iter 6500:, hard_loss_metric=0.06701637, hard_loss_metric=0.06701637, full_loss_metric=0.17179890, full_loss_num=548.98291016, mean_dist=4.60179853, lr=0.000100, hard or full='full'
iter 6600:, hard_loss_metric=0.06777623, hard_loss_metric=0.06777623, full_loss_metric=0.17817707, full_loss_num=537.67431641, mean_dist=4.56026697, lr=0.000100, hard or full='full'
iter 6700:, hard_loss_metric=0.06634389, hard_loss_metric=0.06634389, full_loss_metric=0.17689964, full_loss_num=538.30865479, mean_dist=4.60729027, lr=0.000100, hard or full='full'
iter 6800:, hard_loss_metric=0.06028756, hard_loss_metric=0.06028756, full_loss_metric=0.16655611, full_loss_num=487.88284302, mean_dist=4.50548363, lr=0.000100, hard or full='full'
iter 6900:, hard_loss_metric=0.06076143, hard_loss_metric=0.06076143, full_loss_metric=0.17702825, full_loss_num=460.65286255, mean_dist=4.83239269, lr=0.000100, hard or full='full'
0:12:26.427262
iter 7000:, hard_loss_metric=0.06009107, hard_loss_metric=0.06009107, full_loss_metric=0.17115337, full_loss_num=495.18280029, mean_dist=4.71404076, lr=0.000100, hard or full='full'
iter 7100:, hard_loss_metric=0.05534211, hard_loss_metric=0.05534211, full_loss_metric=0.17880639, full_loss_num=408.96429443, mean_dist=4.73923445, lr=0.000100, hard or full='full'
iter 7200:, hard_loss_metric=0.05515510, hard_loss_metric=0.05515510, full_loss_metric=0.16513731, full_loss_num=415.19570923, mean_dist=4.74371338, lr=0.000100, hard or full='full'
iter 7300:, hard_loss_metric=0.06048381, hard_loss_metric=0.06048381, full_loss_metric=0.17309827, full_loss_num=456.05282593, mean_dist=4.92892504, lr=0.000100, hard or full='full'
iter 7400:, hard_loss_metric=0.05940987, hard_loss_metric=0.05940987, full_loss_metric=0.16272706, full_loss_num=484.21145630, mean_dist=4.75103760, lr=0.000100, hard or full='full'
iter 7500:, hard_loss_metric=0.05847960, hard_loss_metric=0.05847960, full_loss_metric=0.17397553, full_loss_num=417.71716309, mean_dist=4.90594387, lr=0.000100, hard or full='full'
iter 7600:, hard_loss_metric=0.05751743, hard_loss_metric=0.05751743, full_loss_metric=0.17712498, full_loss_num=421.94573975, mean_dist=5.07804775, lr=0.000100, hard or full='full'
iter 7700:, hard_loss_metric=0.06075268, hard_loss_metric=0.06075268, full_loss_metric=0.18590279, full_loss_num=448.30285645, mean_dist=5.20730782, lr=0.000100, hard or full='full'
iter 7800:, hard_loss_metric=0.05483746, hard_loss_metric=0.05483746, full_loss_metric=0.17430298, full_loss_num=383.48858643, mean_dist=5.29776812, lr=0.000100, hard or full='full'
iter 7900:, hard_loss_metric=0.05409600, hard_loss_metric=0.05409600, full_loss_metric=0.17786872, full_loss_num=364.65432739, mean_dist=5.21322489, lr=0.000100, hard or full='full'
0:12:27.178484
iter 8000:, hard_loss_metric=0.05223349, hard_loss_metric=0.05223349, full_loss_metric=0.17276712, full_loss_num=370.57147217, mean_dist=5.27604437, lr=0.000100, hard or full='full'
iter 8100:, hard_loss_metric=0.05408102, hard_loss_metric=0.05408102, full_loss_metric=0.17281580, full_loss_num=371.19717407, mean_dist=5.31731129, lr=0.000100, hard or full='full'
iter 8200:, hard_loss_metric=0.05401404, hard_loss_metric=0.05401404, full_loss_metric=0.17260410, full_loss_num=370.73001099, mean_dist=5.15358639, lr=0.000100, hard or full='full'
iter 8300:, hard_loss_metric=0.05123597, hard_loss_metric=0.05123597, full_loss_metric=0.18290950, full_loss_num=332.83575439, mean_dist=5.52777100, lr=0.000100, hard or full='full'
iter 8400:, hard_loss_metric=0.05185598, hard_loss_metric=0.05185598, full_loss_metric=0.17366104, full_loss_num=340.88000488, mean_dist=5.27751398, lr=0.000100, hard or full='full'
iter 8500:, hard_loss_metric=0.04839049, hard_loss_metric=0.04839049, full_loss_metric=0.17250699, full_loss_num=315.97430420, mean_dist=5.45417595, lr=0.000100, hard or full='full'
iter 8600:, hard_loss_metric=0.04921971, hard_loss_metric=0.04921971, full_loss_metric=0.17479867, full_loss_num=326.84002686, mean_dist=5.37219381, lr=0.000100, hard or full='full'
iter 8700:, hard_loss_metric=0.04423000, hard_loss_metric=0.04423000, full_loss_metric=0.16089469, full_loss_num=283.90292358, mean_dist=5.62680531, lr=0.000100, hard or full='full'
iter 8800:, hard_loss_metric=0.04200483, hard_loss_metric=0.04200483, full_loss_metric=0.16449848, full_loss_num=262.73571777, mean_dist=5.56869030, lr=0.000100, hard or full='full'
iter 8900:, hard_loss_metric=0.04367540, hard_loss_metric=0.04367540, full_loss_metric=0.17821912, full_loss_num=281.83001709, mean_dist=5.54287338, lr=0.000100, hard or full='full'
0:12:26.534900
iter 9000:, hard_loss_metric=0.04423644, hard_loss_metric=0.04423644, full_loss_metric=0.16144314, full_loss_num=294.77859497, mean_dist=5.35131264, lr=0.000100, hard or full='full'
iter 9100:, hard_loss_metric=0.04327293, hard_loss_metric=0.04327293, full_loss_metric=0.15841350, full_loss_num=278.66430664, mean_dist=5.53949785, lr=0.000100, hard or full='full'
iter 9200:, hard_loss_metric=0.04900362, hard_loss_metric=0.04900362, full_loss_metric=0.18404531, full_loss_num=302.60998535, mean_dist=5.62830067, lr=0.000100, hard or full='full'
iter 9300:, hard_loss_metric=0.04482741, hard_loss_metric=0.04482741, full_loss_metric=0.18238121, full_loss_num=282.75573730, mean_dist=5.70339394, lr=0.000100, hard or full='full'
iter 9400:, hard_loss_metric=0.04125788, hard_loss_metric=0.04125788, full_loss_metric=0.17740829, full_loss_num=248.05574036, mean_dist=5.69360352, lr=0.000100, hard or full='full'
iter 9500:, hard_loss_metric=0.03918455, hard_loss_metric=0.03918455, full_loss_metric=0.15359731, full_loss_num=234.50859070, mean_dist=5.67154169, lr=0.000100, hard or full='full'
iter 9600:, hard_loss_metric=0.03886299, hard_loss_metric=0.03886299, full_loss_metric=0.17150155, full_loss_num=225.68002319, mean_dist=5.84656334, lr=0.000100, hard or full='full'
iter 9700:, hard_loss_metric=0.04052067, hard_loss_metric=0.04052067, full_loss_metric=0.17940003, full_loss_num=241.59857178, mean_dist=5.87948036, lr=0.000100, hard or full='full'
iter 9800:, hard_loss_metric=0.04233801, hard_loss_metric=0.04233801, full_loss_metric=0.16783506, full_loss_num=245.77572632, mean_dist=5.78846502, lr=0.000100, hard or full='full'
iter 9900:, hard_loss_metric=0.04178777, hard_loss_metric=0.04178777, full_loss_metric=0.16450284, full_loss_num=274.97714233, mean_dist=5.68473959, lr=0.000100, hard or full='full'
0:12:25.165020
iter 10000:, hard_loss_metric=0.03761717, hard_loss_metric=0.03761717, full_loss_metric=0.17001766, full_loss_num=227.80142212, mean_dist=5.80291033, lr=0.000100, hard or full='full'
iter 10100:, hard_loss_metric=0.03313806, hard_loss_metric=0.03313806, full_loss_metric=0.14569737, full_loss_num=193.83714294, mean_dist=5.93886518, lr=0.000100, hard or full='full'
iter 10200:, hard_loss_metric=0.03680954, hard_loss_metric=0.03680954, full_loss_metric=0.15536907, full_loss_num=224.21000671, mean_dist=5.78753090, lr=0.000100, hard or full='full'
iter 10300:, hard_loss_metric=0.03987958, hard_loss_metric=0.03987958, full_loss_metric=0.17118868, full_loss_num=231.15287781, mean_dist=6.06816912, lr=0.000100, hard or full='full'
iter 10400:, hard_loss_metric=0.03481296, hard_loss_metric=0.03481296, full_loss_metric=0.16670570, full_loss_num=195.20429993, mean_dist=6.07361984, lr=0.000100, hard or full='full'
iter 10500:, hard_loss_metric=0.03589018, hard_loss_metric=0.03589018, full_loss_metric=0.17513718, full_loss_num=192.21144104, mean_dist=6.27081585, lr=0.000100, hard or full='full'
iter 10600:, hard_loss_metric=0.03900859, hard_loss_metric=0.03900859, full_loss_metric=0.16519260, full_loss_num=220.82429504, mean_dist=6.17019367, lr=0.000100, hard or full='full'
iter 10700:, hard_loss_metric=0.03884689, hard_loss_metric=0.03884689, full_loss_metric=0.18073301, full_loss_num=210.92715454, mean_dist=6.20549393, lr=0.000100, hard or full='full'
iter 10800:, hard_loss_metric=0.03834590, hard_loss_metric=0.03834590, full_loss_metric=0.17183070, full_loss_num=204.12289429, mean_dist=6.39315557, lr=0.000100, hard or full='full'
iter 10900:, hard_loss_metric=0.03516772, hard_loss_metric=0.03516772, full_loss_metric=0.16071957, full_loss_num=186.52432251, mean_dist=6.27557564, lr=0.000100, hard or full='full'
0:12:23.521011
iter 11000:, hard_loss_metric=0.03440861, hard_loss_metric=0.03440861, full_loss_metric=0.16499692, full_loss_num=197.47430420, mean_dist=6.24306297, lr=0.000100, hard or full='full'
iter 11100:, hard_loss_metric=0.03520053, hard_loss_metric=0.03520053, full_loss_metric=0.16581942, full_loss_num=188.29428101, mean_dist=6.37373495, lr=0.000100, hard or full='full'
iter 11200:, hard_loss_metric=0.02774323, hard_loss_metric=0.02774323, full_loss_metric=0.14818244, full_loss_num=144.11286926, mean_dist=6.29774046, lr=0.000100, hard or full='full'
iter 11300:, hard_loss_metric=0.03089348, hard_loss_metric=0.03089348, full_loss_metric=0.15819129, full_loss_num=162.03715515, mean_dist=6.24863911, lr=0.000100, hard or full='full'
iter 11400:, hard_loss_metric=0.03045827, hard_loss_metric=0.03045827, full_loss_metric=0.14835364, full_loss_num=163.40856934, mean_dist=6.28825617, lr=0.000100, hard or full='full'
iter 11500:, hard_loss_metric=0.02707713, hard_loss_metric=0.02707713, full_loss_metric=0.14384608, full_loss_num=144.38572693, mean_dist=6.23024797, lr=0.000100, hard or full='full'
iter 11600:, hard_loss_metric=0.02631295, hard_loss_metric=0.02631295, full_loss_metric=0.13960646, full_loss_num=132.33285522, mean_dist=6.54068708, lr=0.000100, hard or full='full'
iter 11700:, hard_loss_metric=0.03128897, hard_loss_metric=0.03128897, full_loss_metric=0.15585522, full_loss_num=183.40144348, mean_dist=6.38031435, lr=0.000100, hard or full='full'
iter 11800:, hard_loss_metric=0.02832135, hard_loss_metric=0.02832135, full_loss_metric=0.14906694, full_loss_num=148.05429077, mean_dist=6.42620611, lr=0.000100, hard or full='full'
iter 11900:, hard_loss_metric=0.03367640, hard_loss_metric=0.03367640, full_loss_metric=0.16159710, full_loss_num=165.87286377, mean_dist=6.47742128, lr=0.000100, hard or full='full'
0:12:27.134454
iter 12000:, hard_loss_metric=0.02794477, hard_loss_metric=0.02794477, full_loss_metric=0.15466000, full_loss_num=150.02143860, mean_dist=6.52375126, lr=0.000100, hard or full='full'
iter 12100:, hard_loss_metric=0.02970502, hard_loss_metric=0.02970502, full_loss_metric=0.15547457, full_loss_num=150.53715515, mean_dist=6.53933764, lr=0.000100, hard or full='full'
iter 12200:, hard_loss_metric=0.02640794, hard_loss_metric=0.02640794, full_loss_metric=0.14923576, full_loss_num=131.54286194, mean_dist=6.44133043, lr=0.000100, hard or full='full'
iter 12300:, hard_loss_metric=0.02924994, hard_loss_metric=0.02924994, full_loss_metric=0.16032520, full_loss_num=137.35427856, mean_dist=7.04020309, lr=0.000100, hard or full='full'
iter 12400:, hard_loss_metric=0.03469902, hard_loss_metric=0.03469902, full_loss_metric=0.17714915, full_loss_num=167.93574524, mean_dist=6.85735941, lr=0.000100, hard or full='full'
iter 12500:, hard_loss_metric=0.02880954, hard_loss_metric=0.02880954, full_loss_metric=0.16371442, full_loss_num=135.85572815, mean_dist=6.88203239, lr=0.000100, hard or full='full'
iter 12600:, hard_loss_metric=0.02801249, hard_loss_metric=0.02801249, full_loss_metric=0.16028669, full_loss_num=134.57287598, mean_dist=6.90766668, lr=0.000100, hard or full='full'
iter 12700:, hard_loss_metric=0.02654875, hard_loss_metric=0.02654875, full_loss_metric=0.15650627, full_loss_num=132.82572937, mean_dist=6.61357307, lr=0.000100, hard or full='full'
iter 12800:, hard_loss_metric=0.02210323, hard_loss_metric=0.02210323, full_loss_metric=0.13640565, full_loss_num=111.12715912, mean_dist=6.68989277, lr=0.000100, hard or full='full'
iter 12900:, hard_loss_metric=0.02863512, hard_loss_metric=0.02863512, full_loss_metric=0.16209584, full_loss_num=134.60000610, mean_dist=6.89583111, lr=0.000100, hard or full='full'
0:12:23.068613
iter 13000:, hard_loss_metric=0.02500320, hard_loss_metric=0.02500320, full_loss_metric=0.13840844, full_loss_num=124.74857330, mean_dist=6.76662159, lr=0.000100, hard or full='full'
iter 13100:, hard_loss_metric=0.02371163, hard_loss_metric=0.02371163, full_loss_metric=0.15096901, full_loss_num=116.94429779, mean_dist=6.93029070, lr=0.000100, hard or full='full'
iter 13200:, hard_loss_metric=0.02276704, hard_loss_metric=0.02276704, full_loss_metric=0.14233732, full_loss_num=112.29429626, mean_dist=6.94102526, lr=0.000100, hard or full='full'
iter 13300:, hard_loss_metric=0.02512336, hard_loss_metric=0.02512336, full_loss_metric=0.15157187, full_loss_num=114.73286438, mean_dist=7.03899956, lr=0.000100, hard or full='full'
iter 13400:, hard_loss_metric=0.02828863, hard_loss_metric=0.02828863, full_loss_metric=0.16132662, full_loss_num=130.16143799, mean_dist=7.28547049, lr=0.000100, hard or full='full'
iter 13500:, hard_loss_metric=0.02121394, hard_loss_metric=0.02121394, full_loss_metric=0.13031146, full_loss_num=93.60571289, mean_dist=7.26490831, lr=0.000100, hard or full='full'
iter 13600:, hard_loss_metric=0.02698911, hard_loss_metric=0.02698911, full_loss_metric=0.16945320, full_loss_num=121.48715210, mean_dist=7.23461866, lr=0.000100, hard or full='full'
iter 13700:, hard_loss_metric=0.02251526, hard_loss_metric=0.02251526, full_loss_metric=0.14564200, full_loss_num=102.35285950, mean_dist=7.11486340, lr=0.000100, hard or full='full'
iter 13800:, hard_loss_metric=0.02228582, hard_loss_metric=0.02228582, full_loss_metric=0.15636657, full_loss_num=94.07428741, mean_dist=7.32424307, lr=0.000100, hard or full='full'
iter 13900:, hard_loss_metric=0.02076360, hard_loss_metric=0.02076360, full_loss_metric=0.13894299, full_loss_num=96.40428925, mean_dist=7.07307005, lr=0.000100, hard or full='full'
0:12:19.814722
iter 14000:, hard_loss_metric=0.02274875, hard_loss_metric=0.02274875, full_loss_metric=0.14554532, full_loss_num=100.67571259, mean_dist=7.26896238, lr=0.000100, hard or full='full'
iter 14100:, hard_loss_metric=0.02052212, hard_loss_metric=0.02052212, full_loss_metric=0.13682303, full_loss_num=93.79429626, mean_dist=7.39799547, lr=0.000100, hard or full='full'
iter 14200:, hard_loss_metric=0.02268136, hard_loss_metric=0.02268136, full_loss_metric=0.14119166, full_loss_num=101.52285767, mean_dist=7.11824179, lr=0.000100, hard or full='full'
iter 14300:, hard_loss_metric=0.02541694, hard_loss_metric=0.02541694, full_loss_metric=0.15992391, full_loss_num=117.23713684, mean_dist=7.24590445, lr=0.000100, hard or full='full'
iter 14400:, hard_loss_metric=0.02116191, hard_loss_metric=0.02116191, full_loss_metric=0.13722210, full_loss_num=92.99713898, mean_dist=7.44405699, lr=0.000100, hard or full='full'
iter 14500:, hard_loss_metric=0.02515008, hard_loss_metric=0.02515008, full_loss_metric=0.15793952, full_loss_num=110.09001160, mean_dist=7.32761097, lr=0.000100, hard or full='full'
iter 14600:, hard_loss_metric=0.02483702, hard_loss_metric=0.02483702, full_loss_metric=0.14658678, full_loss_num=108.24429321, mean_dist=7.44898701, lr=0.000100, hard or full='full'
iter 14700:, hard_loss_metric=0.02402428, hard_loss_metric=0.02402428, full_loss_metric=0.15466021, full_loss_num=112.29857635, mean_dist=7.43028927, lr=0.000100, hard or full='full'
iter 14800:, hard_loss_metric=0.02419746, hard_loss_metric=0.02419746, full_loss_metric=0.16380805, full_loss_num=104.09857178, mean_dist=7.36877155, lr=0.000100, hard or full='full'
iter 14900:, hard_loss_metric=0.01748744, hard_loss_metric=0.01748744, full_loss_metric=0.12941670, full_loss_num=73.03427887, mean_dist=7.80896902, lr=0.000100, hard or full='full'
0:12:20.781826
iter 15000:, hard_loss_metric=0.02098447, hard_loss_metric=0.02098447, full_loss_metric=0.14994164, full_loss_num=87.15428925, mean_dist=7.69224405, lr=0.000100, hard or full='full'
iter 15100:, hard_loss_metric=0.02178794, hard_loss_metric=0.02178794, full_loss_metric=0.14678565, full_loss_num=97.03429413, mean_dist=7.65265846, lr=0.000100, hard or full='full'
iter 15200:, hard_loss_metric=0.01853657, hard_loss_metric=0.01853657, full_loss_metric=0.12583058, full_loss_num=77.86572266, mean_dist=7.76807499, lr=0.000100, hard or full='full'
iter 15300:, hard_loss_metric=0.02122579, hard_loss_metric=0.02122579, full_loss_metric=0.13917977, full_loss_num=82.79143524, mean_dist=7.82886171, lr=0.000100, hard or full='full'
iter 15400:, hard_loss_metric=0.01834761, hard_loss_metric=0.01834761, full_loss_metric=0.14346300, full_loss_num=72.08857727, mean_dist=7.74901867, lr=0.000100, hard or full='full'
iter 15500:, hard_loss_metric=0.02052977, hard_loss_metric=0.02052977, full_loss_metric=0.14051214, full_loss_num=85.89000702, mean_dist=7.65927839, lr=0.000100, hard or full='full'
iter 15600:, hard_loss_metric=0.01863398, hard_loss_metric=0.01863398, full_loss_metric=0.13605061, full_loss_num=74.47857666, mean_dist=7.80258751, lr=0.000100, hard or full='full'
iter 15700:, hard_loss_metric=0.01688746, hard_loss_metric=0.01688746, full_loss_metric=0.13577923, full_loss_num=63.31000137, mean_dist=8.24024200, lr=0.000100, hard or full='full'
iter 15800:, hard_loss_metric=0.01970382, hard_loss_metric=0.01970382, full_loss_metric=0.14455308, full_loss_num=76.92572021, mean_dist=8.00478840, lr=0.000100, hard or full='full'
iter 15900:, hard_loss_metric=0.01873109, hard_loss_metric=0.01873109, full_loss_metric=0.14161330, full_loss_num=74.92143250, mean_dist=8.07868099, lr=0.000100, hard or full='full'
0:12:21.088943
iter 16000:, hard_loss_metric=0.01629306, hard_loss_metric=0.01629306, full_loss_metric=0.13096406, full_loss_num=62.36856842, mean_dist=7.91110086, lr=0.000100, hard or full='full'
iter 16100:, hard_loss_metric=0.02163413, hard_loss_metric=0.02163413, full_loss_metric=0.15742621, full_loss_num=85.09716034, mean_dist=8.10374832, lr=0.000100, hard or full='full'
iter 16200:, hard_loss_metric=0.01916720, hard_loss_metric=0.01916720, full_loss_metric=0.16146894, full_loss_num=66.15714264, mean_dist=8.48518658, lr=0.000100, hard or full='full'
iter 16300:, hard_loss_metric=0.01996233, hard_loss_metric=0.01996233, full_loss_metric=0.14714378, full_loss_num=78.07143402, mean_dist=8.28979874, lr=0.000100, hard or full='full'
iter 16400:, hard_loss_metric=0.01735765, hard_loss_metric=0.01735765, full_loss_metric=0.13911289, full_loss_num=65.62571716, mean_dist=8.19372272, lr=0.000100, hard or full='full'
iter 16500:, hard_loss_metric=0.01610450, hard_loss_metric=0.01610450, full_loss_metric=0.13445671, full_loss_num=60.51286697, mean_dist=8.19507504, lr=0.000100, hard or full='full'
iter 16600:, hard_loss_metric=0.01603097, hard_loss_metric=0.01603097, full_loss_metric=0.13189676, full_loss_num=57.73143387, mean_dist=8.21849155, lr=0.000100, hard or full='full'
